disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3,n_features
SKCM,both,drugmean,False,26630,53,644,50,0.22341143160576604,0.2193797448008442,0.22744311841068787,0.3141563494360966,0.901531074744893,0.09382677114482511,3.0,53.0,0.27044025157232704,0.16368667182241628,0.23806394245352852,0.6916256210261743,
SKCM,both,enet_resid,True,26630,53,644,50,-0.011623752225735046,-0.07199596712988761,0.04874846267841751,-0.016021825884656404,0.9023229618712337,-0.0017595880947439912,,,,,,,
SKCM,both,enet_expr,False,26630,53,644,50,-0.06964498512630285,-0.10138717570141723,-0.037902794551188466,-0.06419152250443813,0.9495192368695232,-0.005214474614026354,,,,,,,
SKCM,both,enet_resid_genetics,True,26630,53,644,50,-0.0053313127376048795,-0.05100289991787962,0.04034027444266986,-0.026738558527858357,0.902639032630932,-0.0024612834188877386,,,,,,,650.0
BRCA,gdsc,mean,False,11137,45,275,44,-0.11518488644080287,-0.1447395759859644,-0.08563019689564133,-0.10864991052001467,0.9478381896048045,-0.00738302639938504,,,,,,,
BRCA,gdsc,drugmean,False,11137,45,275,44,0.2604674303507008,0.24928869857914734,0.2716461621222543,0.251461859106465,0.9178293233710229,0.055387531718068025,3.0,45.0,0.11111111111111109,0.2107015952168264,0.30120948180343476,0.5113910958564721,
BRCA,gdsc,enet_resid,True,11137,45,275,44,-0.04273927424774519,-0.08714802125480729,0.0016694727593169062,-0.054572123571453544,0.9224901716170446,-0.010183579985386304,,,,,,,
BRCA,gdsc,enet_expr,False,11137,45,275,44,-0.1359998470221241,-0.17139631016187246,-0.10060338388237573,-0.09081027448322097,0.9535407820233093,-0.019584249389630503,,,,,,,
BRCA,ctrp,mean,False,13953,37,475,36,-0.09458924605262285,-0.1272542147841531,-0.0619242773210926,-0.094269332880547,1.0425915538138384,-0.00578476931028411,,,,,,,
BRCA,ctrp,drugmean,False,13953,37,475,36,0.10628880515375064,0.09531173034764755,0.11726587995985373,0.10632453904800998,1.0461625014037854,-0.012688814530053216,3.0,37.0,0.04504504504504504,0.07715700284061613,0.11413050856859723,0.5792337785747108,
BRCA,ctrp,enet_resid,True,13953,37,475,36,-0.008452062138988397,-0.07818584744124239,0.06128172316326559,-0.02935266882844471,1.048129871122381,-0.0037809451009052086,,,,,,,
BRCA,ctrp,enet_expr,False,13953,37,475,36,-0.0882619586460385,-0.11367218363738804,-0.06285173365468896,-0.0825874498987769,1.043810671694226,-0.008141226232405475,,,,,,,
BRCA,both,mean,False,25102,49,667,48,-0.09722252262486078,-0.12469271120031929,-0.06975233404940227,-0.1065939290715344,1.0024737195288997,-0.0069203325430892805,,,,,,,
BRCA,both,drugmean,False,25102,49,667,48,0.1763280572511432,0.16772596212210766,0.18493015238017874,0.16609150803978376,0.9926023206072468,0.012809678737089714,3.0,49.0,0.047619047619047616,0.1382692301013686,0.20068044634352022,0.5210134565027786,
BRCA,both,enet_resid,True,25102,49,667,48,0.008457344888727033,-0.005736113786270045,0.022650803563724113,0.0002682430912908181,0.9951010632483607,-0.005041809467685532,,,,,,,
BRCA,both,enet_expr,False,25102,49,667,48,-0.045179410608449364,-0.07566902746156276,-0.01468979375533597,-0.028114715303130262,1.0041822992759823,-0.010362979799240524,,,,,,,
BRCA,both,enet_resid_genetics,True,25102,49,667,48,0.041609830230067604,0.019657578208587743,0.06356208225154747,0.03408974631225927,0.9928011813155727,-0.0004051357107982323,,,,,,,648.0
COAD/READ,gdsc,mean,False,10404,40,285,39,-0.11969563144469213,-0.13694451383197892,-0.10244674905740533,-0.11217888215699734,0.9192199305009607,-0.0072571696123954425,,,,,,,
COAD/READ,gdsc,drugmean,False,10404,40,285,39,0.25371404036446565,0.2483174713982606,0.2591106093306707,0.26679273341797344,0.886337353755468,0.06351670074749535,3.0,40.0,0.06666666666666667,0.19452828948258055,0.2833636721211019,0.5760406761373227,
COAD/READ,gdsc,enet_resid,True,10404,40,285,39,-0.07583548800456459,-0.1743298202100398,0.02265884420091062,-0.05815289884625293,0.8865297777629554,-0.00043575425310824476,,,,,,,
COAD/READ,gdsc,enet_expr,False,10404,40,285,39,-0.1230170938688531,-0.1444696505211212,-0.10156453721658498,-0.11464504894637584,0.9193930576456761,-0.007637172058351016,,,,,,,
COAD/READ,ctrp,mean,False,15913,43,473,42,-0.10488035360433601,-0.13347046209165667,-0.07629024511701535,-0.10545193438658029,1.0363542908260253,-0.006790865329744955,,,,,,,
COAD/READ,ctrp,drugmean,False,15913,43,473,42,0.11234543965582607,0.10401027879287748,0.12068060051877465,0.11150539160271475,1.0375277291585538,-0.009074575949043196,3.0,43.0,0.03875968992248062,0.10462175299174703,0.1538428954983424,0.6600164463856698,
COAD/READ,ctrp,enet_resid,True,15913,43,473,42,-0.02326626638379144,-0.07555523506404088,0.029022702296457998,-0.056602376018691246,1.0407657184627108,-0.0062580008282477895,,,,,,,
COAD/READ,ctrp,enet_expr,False,15913,43,473,42,-0.1045023581792873,-0.12479886051075972,-0.08420585584781487,-0.10168917621975729,1.0396243662662759,-0.01316102668922232,,,,,,,
COAD/READ,both,mean,False,26320,49,673,48,-0.07661436808993782,-0.1068986418141908,-0.046330094365684846,-0.08201737136790721,0.9907005146477301,-0.004517387687038177,,,,,,,
COAD/READ,both,drugmean,False,26320,49,673,48,0.16335592932605786,0.15313353927618495,0.17357831937593077,0.16897222080713736,0.9812407846057806,0.014569384180072632,3.0,49.0,0.05442176870748299,0.13254776507839483,0.19598503418671487,0.5915821430360115,
COAD/READ,both,enet_resid,True,26320,49,673,48,-0.011822225385696222,-0.07531479485341722,0.051670344082024776,-0.012095266847482796,0.9831136588430585,-0.003844187620618067,,,,,,,
COAD/READ,both,enet_expr,False,26320,49,673,48,-0.0896358848555731,-0.11522323240560431,-0.06404853730554189,-0.09507381085277529,0.9926514971262883,-0.0084865181460811,,,,,,,
COAD/READ,both,enet_resid_genetics,True,26320,49,673,48,-0.004809498233866794,-0.05982592426516395,0.050206927797430356,-0.005854264781130919,0.9836862566796816,-0.005026330659737699,,,,,,,648.0
SCLC,gdsc,mean,False,8710,38,285,37,-0.08667442879593283,-0.1121721225090567,-0.06117673508280897,-0.09147321764462049,0.9371092660404869,-0.004997435477718515,,,,,,,
SCLC,gdsc,drugmean,False,8710,38,285,37,0.21304279923334266,0.2110608651384449,0.2150247333282404,0.22170899646084347,0.9175852891270411,0.036442886715943826,3.0,38.0,0.05263157894736842,0.1615029298612717,0.2333193667765688,0.4884488156657532,
SCLC,gdsc,enet_resid,True,8710,38,285,37,0.02772578551403958,-0.02167050757753559,0.07712207860561475,0.05058918038752732,0.9165915565171243,0.0021571578884020948,,,,,,,
SCLC,gdsc,enet_expr,False,8710,38,285,37,-0.01325919323683189,-0.0647338092636369,0.03821542278997311,0.0002699400571758284,0.9374486842726963,-0.005732910422334014,,,,,,,
SCLC,ctrp,mean,False,7504,20,438,19,-0.22877497085969684,-0.2837515406942596,-0.17379840102513402,-0.22445820595123847,1.1240259198053009,-0.0311436685185023,,,,,,,
SCLC,ctrp,drugmean,False,7504,20,438,19,0.11255547834863319,0.08368347542421872,0.14142748127304766,0.10716923889825776,1.1280407551249412,-0.038566920547111125,3.0,20.0,0.06666666666666667,0.1365175525406963,0.1938893230589373,0.6164422125059166,
SCLC,ctrp,enet_resid,True,7504,20,438,19,0.027649528006467756,-0.09441431069712244,0.14971336671005797,-0.06561389360022404,1.141195213182373,-0.023719660135485078,,,,,,,
SCLC,ctrp,enet_expr,False,7504,20,438,19,-0.21482165561778704,-0.2797207890395181,-0.149922522196056,-0.2063584637616384,1.1388368749235067,-0.058520273832276225,,,,,,,
SCLC,both,mean,False,16223,42,640,41,-0.11047622908562134,-0.14642770900987706,-0.07452474916136563,-0.11087811750456653,1.037771769993057,-0.007932036426595212,,,,,,,
SCLC,both,drugmean,False,16223,42,640,41,0.25052534641509566,0.24124704934660218,0.25980364348358914,0.21380631383731258,1.0198285823115607,0.02660683025798798,3.0,42.0,0.031746031746031744,0.18008947282099283,0.26273640145113725,0.5345577931050589,
SCLC,both,enet_resid,True,16223,42,640,41,-0.014518553627754938,-0.055599040029810545,0.026561932774300672,-0.0548347573959577,1.0271690215616194,-0.014475809211464652,,,,,,,
SCLC,both,enet_expr,False,16223,42,640,41,-0.11985704712031109,-0.16071374765972607,-0.07900034658089611,-0.10634521364279673,1.0521640230122853,-0.03612698989592626,,,,,,,
SCLC,both,enet_resid_genetics,True,16223,42,640,41,-0.010467207498668734,-0.03110193742486993,0.010167522427532463,-0.04693237387019329,1.0250167895120292,-0.010235672593067412,,,,,,,641.0
OV,gdsc,mean,False,5795,25,285,24,-0.13339649209052484,-0.1742448872712215,-0.09254809690982818,-0.14005368571964644,0.8531885403504808,-0.012751126430582271,,,,,,,
OV,gdsc,drugmean,False,5795,25,285,24,0.17363014580271602,0.15727648914466108,0.18998380246077096,0.17004893878955835,0.8482022129856981,-0.0009744376041475489,3.0,25.0,0.0,0.1370246711694988,0.19802334487756595,0.36053602299083537,
OV,gdsc,enet_resid,True,5795,25,285,24,-0.03003636332844838,-0.10516143605916181,0.04508870940226506,-0.010604588098889933,0.8506068546948248,-0.005690583472640243,,,,,,,
OV,gdsc,enet_expr,False,5795,25,285,24,-0.09812552287034283,-0.14752102700473677,-0.0487300187359489,-0.05806337205906269,0.855231756173844,-0.01762638834516077,,,,,,,
OV,ctrp,mean,False,14204,35,473,34,-0.09269042233835567,-0.1173522966214607,-0.06802854805525065,-0.09757358483408012,0.8884334171125928,-0.005682069334807594,,,,,,,
OV,ctrp,drugmean,False,14204,35,473,34,0.03914028679484169,0.029090739182609685,0.049189834407073696,0.046521308917302315,0.8991944106087535,-0.03019627603686028,3.0,35.0,0.02857142857142857,0.03784396487621616,0.055618708659343694,0.5455158181048776,
OV,ctrp,enet_resid,True,14204,35,473,34,-0.019714646584119425,-0.05274155975411007,0.013312266585871226,0.010927992723115006,0.8992674808249541,-0.00016319414695431522,,,,,,,
OV,ctrp,enet_expr,False,14204,35,473,34,-0.08917228192783447,-0.11493215187927944,-0.0634124119763895,-0.08946975631716476,0.8885104139499307,-0.005856480822321109,,,,,,,
OV,both,mean,False,20001,38,673,37,-0.08421800214584191,-0.10116983318743453,-0.06726617110424929,-0.08573256363064466,0.8772261020441192,-0.004235687844211622,,,,,,,
OV,both,drugmean,False,20001,38,673,37,0.08157789079075098,0.07094613063508082,0.09220965094642114,0.09099737277820666,0.8835658151063063,-0.01881060763777089,3.0,38.0,0.017543859649122806,0.07444152502642792,0.10975991605485345,0.4941654007326331,
OV,both,enet_resid,True,20001,38,673,37,0.008026538605152136,-0.03163572147884985,0.04768879868915412,-0.019603191526830693,0.8862757595197455,-0.006139731333692611,,,,,,,
OV,both,enet_expr,False,20001,38,673,37,-0.07956043889259383,-0.09690451810051702,-0.06221635968467064,-0.06827612051181228,0.8795483580271183,-0.009570374655848956,,,,,,,
OV,both,enet_resid_genetics,True,20001,38,673,37,-0.009125162477027434,-0.025654687621547736,0.007404362667492868,-0.042939266555746716,0.8878730009501353,-0.009780950121141085,,,,,,,637.0
PAAD,gdsc,mean,False,6789,27,271,26,-0.10325495696015827,-0.1390939916654837,-0.06741592225483285,-0.11062147047344295,0.7950427744244235,-0.007861111033257507,,,,,,,
PAAD,gdsc,drugmean,False,6789,27,271,26,0.43395073425277253,0.4282613828528321,0.43964008565271295,0.4138618103068302,0.7241476660582722,0.1638633454879314,3.0,27.0,0.09876543209876544,0.34834446592456486,0.4852743285171681,0.5787319295143389,
PAAD,gdsc,enet_resid,True,6789,27,271,26,-0.010066353400401217,-0.04655109568565218,0.026418388884849743,0.0003746886159629318,0.7280114690177666,-0.01073701001509384,,,,,,,
PAAD,gdsc,enet_expr,False,6789,27,271,26,-0.041140541118564446,-0.06730754614432928,-0.014973536092799614,-0.01342204684211446,0.7971106373160444,-0.013117700544243016,,,,,,,
PAAD,ctrp,mean,False,14625,37,473,36,-0.08847208360958225,-0.10998517851994613,-0.06695898869921837,-0.09067434179153337,0.9124971132605761,-0.004732339871038205,,,,,,,
PAAD,ctrp,drugmean,False,14625,37,473,36,0.11395861926483779,0.10296793501051042,0.12494930351916515,0.0981258340740763,0.9175108011209948,-0.015809507984602254,3.0,37.0,0.0,0.09534484472902413,0.14100255407652523,0.524036217085439,
PAAD,ctrp,enet_resid,True,14625,37,473,36,-0.03101235436072296,-0.08862984730832678,0.026605138586880853,-0.04389631440969359,0.9222222169549953,-0.010332398597428938,,,,,,,
PAAD,ctrp,enet_expr,False,14625,37,473,36,-0.07459608700964321,-0.09898202938382827,-0.05021014463545815,-0.07258217173460343,0.9182533050477488,-0.01746183245450106,,,,,,,
PAAD,both,mean,False,21423,37,664,36,-0.06986230119216166,-0.09207816457196576,-0.04764643781235757,-0.07173041360983978,0.8761749522709399,-0.0030632955937438754,,,,,,,
PAAD,both,drugmean,False,21423,37,664,36,0.2236707318035608,0.2179650347652711,0.22937642884185053,0.21393173490640746,0.8604983165761017,0.03250737565232389,3.0,37.0,0.036036036036036036,0.15966482555003836,0.23376584440014578,0.5578475927094348,
PAAD,both,enet_resid,True,21423,37,664,36,-0.0006870138348512328,-0.03782773646627161,0.03645370879656915,-0.01764289117240648,0.8648751792777489,-0.010233623532460179,,,,,,,
PAAD,both,enet_expr,False,21423,37,664,36,-0.030102517383060978,-0.077007577839644,0.01680254307352205,-0.041889784490975676,0.8793709081499392,-0.010398448250482594,,,,,,,
PAAD,both,enet_resid_genetics,True,21423,37,664,36,-0.01656507490815059,-0.06271013231462591,0.029579982498324726,-0.022742099503275725,0.8641293309490752,-0.008471214347620437,,,,,,,636.0
GBM,gdsc,mean,False,5208,21,270,20,-0.09784557549604264,-0.12808735152349737,-0.06760379946858791,-0.10097882719314291,0.7410620851617209,-0.0065868125377211316,,,,,,,
GBM,gdsc,drugmean,False,5208,21,270,20,0.22859849177661995,0.21362766380730822,0.24356931974593168,0.21959781266245285,0.7304622698518516,0.021955748877118753,3.0,21.0,0.047619047619047616,0.16959557821120888,0.2476165533192737,0.3986276020770195,
GBM,gdsc,enet_resid,True,5208,21,270,20,0.03219658901585657,-0.025503814338609383,0.08989699237032253,0.041964572952528166,0.7389530537228556,-0.023669450436628558,,,,,,,
GBM,gdsc,enet_expr,False,5208,21,270,20,-0.08856389705043262,-0.1284735029906935,-0.04865429111017174,-0.0748177878804512,0.7493114784897672,-0.029291432276817984,,,,,,,
GBM,ctrp,mean,False,12513,32,475,31,-0.058378011656210524,-0.07752284867219014,-0.03923317464023091,-0.06024584129153365,0.9962184906153831,-0.0021650008967216915,,,,,,,
GBM,ctrp,drugmean,False,12513,32,475,31,0.15553872778958794,0.1493009064166539,0.161776549162522,0.12224251959237187,0.9993644980744911,-0.008509228094974208,3.0,32.0,0.010416666666666666,0.1204924978174659,0.17881980138049708,0.5104617442903415,
GBM,ctrp,enet_resid,True,12513,32,475,31,-0.025848458751063685,-0.049669167063360366,-0.0020277504387670037,-0.019095700519504637,1.0027242688111824,-0.00674480197564904,,,,,,,
GBM,ctrp,enet_expr,False,12513,32,475,31,-0.03201113200033045,-0.055962767273215856,-0.008059496727445041,-0.03149050888475445,0.9997230572354935,-0.009231714557665648,,,,,,,
GBM,both,mean,False,17745,33,665,32,-0.06689978054998366,-0.08787441269934325,-0.045925148400624075,-0.06720572701384411,0.9281815516177142,-0.0027290060739773025,,,,,,,
GBM,both,drugmean,False,17745,33,665,32,0.1705246518170829,0.16501607839113122,0.17603322524303458,0.13781215250580497,0.9287526359609902,-0.00396737393448332,3.0,33.0,0.0,0.12170452165828098,0.18055377366155662,0.48754058468917,
GBM,both,enet_resid,True,17745,33,665,32,-0.05231644880105638,-0.08867013773169558,-0.01596275987041719,-0.03870656978740673,0.9336649131632102,-0.010637237715740632,,,,,,,
GBM,both,enet_expr,False,17745,33,665,32,-0.058396791646737424,-0.09064706060867977,-0.02614652268479508,-0.045983349218243465,0.9319729243247803,-0.010944382413616616,,,,,,,
GBM,both,enet_resid_genetics,True,17745,33,665,32,-0.005980746739093381,-0.032629751143774595,0.02066825766558783,-0.0056268590438564355,0.931543302047044,-0.006023501187102332,,,,,,,632.0
HNSC,ctrp,mean,False,12874,32,470,31,-0.0871903800268992,-0.1100048599791986,-0.06437590007459981,-0.09285823677630012,0.8987842517273087,-0.005277917133084342,,,,,,,
HNSC,ctrp,drugmean,False,12874,32,470,31,0.21235660082471158,0.20112268765061886,0.2235905139988043,0.22816409446131286,0.8793167742477298,0.0377797097630657,3.0,32.0,0.041666666666666664,0.16245150427389715,0.2369380692919745,0.6775163703553324,
HNSC,ctrp,enet_resid,True,12874,32,470,31,0.018219084100048667,-0.015134898980265765,0.0515730671803631,0.000160452306996392,0.8822785465149063,-0.006738428909237548,,,,,,,
HNSC,ctrp,enet_expr,False,12874,32,470,31,-0.07322306792115815,-0.10162552095135838,-0.044820614890957934,-0.058329486869171124,0.901644786321316,-0.011702027033739081,,,,,,,
HNSC,both,mean,False,16791,33,661,32,-0.0766759635497038,-0.10764587313899392,-0.045706053960413676,-0.08168963330195317,0.8769366619300435,-0.00408208916442927,,,,,,,
HNSC,both,drugmean,False,16791,33,661,32,0.22941743598392805,0.22393696887580555,0.23489790309205055,0.23513496413204735,0.8574198893483231,0.040111322934028346,3.0,33.0,0.0101010101010101,0.17197661771291964,0.2517283449089155,0.6071605968248037,
HNSC,both,enet_resid,True,16791,33,661,32,0.024332887935008627,-0.007253354066765371,0.05591912993678262,0.03201057111365678,0.8576577889062553,-0.0005594615470861042,,,,,,,
HNSC,both,enet_expr,False,16791,33,661,32,-0.04978111253451741,-0.08550625286583322,-0.014055972203201608,-0.031337738862078086,0.8787243897980336,-0.008186748129789655,,,,,,,
HNSC,both,enet_resid_genetics,True,16791,33,661,32,-0.0007694765683073694,-0.05161988160790993,0.05008092847129519,-0.0058317232813057665,0.8584711133490572,-0.0024579104986116596,,,,,,,632.0
STAD,gdsc,mean,False,5431,22,271,21,-0.1052299840570294,-0.1331960775532601,-0.0772638905607987,-0.0916450785225726,0.9637906085325397,-0.0050737344639877335,,,,,,,
STAD,gdsc,drugmean,False,5431,22,271,21,0.055739753330378485,0.04839517320874867,0.0630843334520083,0.07904013871402163,0.979652036891909,-0.03843597281009257,3.0,22.0,0.0606060606060606,0.04240823700088009,0.06286502622176894,0.43634521706535606,
STAD,gdsc,enet_resid,True,5431,22,271,21,-0.06402784696785997,-0.08372112408192796,-0.044334569853791986,-0.05075664864245895,0.9823392131412391,-0.005492427337148697,,,,,,,
STAD,gdsc,enet_expr,False,5431,22,271,21,-0.10965608880260366,-0.12880111200489333,-0.090511065600314,-0.08778857826753864,0.9659502950731909,-0.009588944344619455,,,,,,,
STAD,ctrp,mean,False,9521,24,471,23,-0.17752688605304548,-0.22479794953268922,-0.13025582257340174,-0.19069788238837043,1.0299304347922178,-0.021965426448044355,,,,,,,
STAD,ctrp,drugmean,False,9521,24,471,23,-0.03406263850458855,-0.06254860750546923,-0.0055766695037078665,-0.02769424207119985,1.0532309730721423,-0.06875971236410572,3.0,24.0,0.0,0.0008508112001188265,0.0009482866323265796,0.4956608329484517,
STAD,ctrp,enet_resid,True,9521,24,471,23,-0.04027276980495556,-0.08840883813054537,0.007863298520634242,-0.05772300443089061,1.071055210231832,-0.03431128341161167,,,,,,,
STAD,ctrp,enet_expr,False,9521,24,471,23,-0.18979099348324363,-0.2445178743695567,-0.13506411259693057,-0.18021095944477064,1.0375975993619693,-0.037271692346108366,,,,,,,
STAD,both,mean,False,14966,32,662,31,-0.14313158734233444,-0.185635055008443,-0.1006281196762259,-0.14438149664345368,1.0044644742070838,-0.01236781501201869,,,,,,,
STAD,both,drugmean,False,14966,32,662,31,-0.005864637034720528,-0.02489362063909325,0.013164346569652194,0.014278087180823648,1.0252718695012286,-0.054759858991025555,3.0,32.0,0.020833333333333332,0.017019431666129386,0.024959615270653965,0.44027778606894125,
STAD,both,enet_resid,True,14966,32,662,31,-0.004001991693580422,-0.07236040643794855,0.0643564230507877,-0.011428458305216833,1.0331239477410359,-0.015437431547952097,,,,,,,
STAD,both,enet_expr,False,14966,32,662,31,-0.09664697959086942,-0.15817838614740817,-0.03511557303433066,-0.08268152274050933,1.0103599217757298,-0.024323372919403386,,,,,,,
STAD,both,enet_resid_genetics,True,14966,32,662,31,-0.0641491542009445,-0.09706982841554138,-0.031228479986347625,-0.08271824130300182,1.0314260782339644,-0.012075769016774407,,,,,,,631.0
SARC,gdsc,mean,False,6271,25,271,24,-0.1489602183862157,-0.18756186401899566,-0.11035857275343575,-0.16149000123330493,0.8645407089815553,-0.015477116323827245,,,,,,,
SARC,gdsc,drugmean,False,6271,25,271,24,0.10093143530773441,0.09040351968730091,0.1114593509281679,0.10389817262526901,0.869843931139376,-0.02797460780171579,3.0,25.0,0.06666666666666667,0.08776177436428628,0.1307091124503142,0.3697318531665223,
SARC,gdsc,enet_resid,True,6271,25,271,24,0.0010504559551145405,-0.04177602299720686,0.043876934907435945,-0.03070044723668571,0.880695657942909,-0.025233606988982672,,,,,,,
SARC,gdsc,enet_expr,False,6271,25,271,24,-0.06543959628448587,-0.1062052543773143,-0.024673938191657432,-0.07292581560943312,0.8745205913226076,-0.03936548943259144,,,,,,,
SARC,ctrp,mean,False,11252,29,447,28,-0.10754400683148713,-0.12977397618117575,-0.0853140374817985,-0.1130652334130469,1.0312088229282144,-0.008177165574493328,,,,,,,
SARC,ctrp,drugmean,False,11252,29,447,28,0.17730165131664927,0.17109857355513272,0.1835047290781658,0.1565848127789337,1.0257462394196755,0.002473375620551588,3.0,29.0,0.0,0.14403384394272678,0.21006901607413297,0.5069824314787589,
SARC,ctrp,enet_resid,True,11252,29,447,28,0.10351064292873917,0.05308773724260658,0.15393354861487177,0.0863286454582721,1.0245296390652794,0.002299886221769931,,,,,,,
SARC,ctrp,enet_expr,False,11252,29,447,28,0.01287157938872339,-0.03715415673040338,0.06289731550785016,0.029408651998736372,1.0310731432424858,-0.007979655637701866,,,,,,,
SARC,both,mean,False,17546,30,639,29,-0.11490225245011285,-0.14410900184656458,-0.0856955030536611,-0.11627324154183491,0.99207031815045,-0.007966562918750109,,,,,,,
SARC,both,drugmean,False,17546,30,639,29,0.2436300005078925,0.23147009658731496,0.25578990442847005,0.20526122883244624,0.9753532344607698,0.025703966148366852,3.0,30.0,0.01111111111111111,0.1641353723411329,0.24188460401293502,0.4802839322643205,
SARC,both,enet_resid,True,17546,30,639,29,0.08444604891470889,0.015931020116289635,0.15296107771312814,0.039859957203619,0.9745160162321354,0.0017180637700402901,,,,,,,
SARC,both,enet_expr,False,17546,30,639,29,-0.09805062629376982,-0.1390848943549973,-0.057016358232542336,-0.088517241608511,0.9951928469603892,-0.014347212133958287,,,,,,,
SARC,both,enet_resid_genetics,True,17546,30,639,29,0.04636361260147957,-0.002809300849518241,0.0955365260524774,0.020767723015017732,0.976504844127688,-0.0023728886721293475,,,,,,,629.0
UCEC,ctrp,mean,False,10043,25,470,24,-0.10163236824277903,-0.1613163205835025,-0.04194841590205555,-0.10966118780693708,0.8929031248775224,-0.008544790683546476,,,,,,,
